ticker,window_start,window_end,strategy,dip_threshold,exit_threshold,source,total_return,sharpe,max_drawdown,trades
QQQ,2024-11-30,2026-07-27,rule_based,-0.08,0.01,yahoo,0.147,0.77,-0.071,4
JPM,2015-01-01,2016-08-26,rule_based,-0.08,0.01,yahoo,0.149,0.9,-0.071,6
JPM,2016-08-26,2018-04-22,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
JPM,2018-04-22,2019-12-16,rule_based,-0.08,0.01,yahoo,0.074,0.86,-0.024,2
JPM,2019-12-16,2021-08-11,rule_based,-0.08,0.01,yahoo,-0.045,0.08,-0.35,8
JPM,2021-08-11,2023-04-06,rule_based,-0.08,0.01,yahoo,0.127,0.71,-0.079,7
JPM,2023-04-06,2024-11-30,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
JPM,2024-11-30,2026-07-27,rule_based,-0.08,0.01,yahoo,0.163,0.99,-0.072,4
XOM,2015-01-01,2016-08-26,rule_based,-0.08,0.01,yahoo,0.077,0.69,-0.043,2
XOM,2016-08-26,2018-04-22,rule_based,-0.08,0.01,yahoo,-0.053,-0.47,-0.079,2
XOM,2018-04-22,2019-12-16,rule_based,-0.08,0.01,yahoo,0.051,0.52,-0.047,2
XOM,2019-12-16,2021-08-11,rule_based,-0.08,0.01,yahoo,-0.341,-0.72,-0.491,7
XOM,2021-08-11,2023-04-06,rule_based,-0.08,0.01,yahoo,0.228,1.06,-0.091,6
XOM,2023-04-06,2024-11-30,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
XOM,2024-11-30,2026-07-27,rule_based,-0.08,0.01,yahoo,0.091,0.7,-0.055,4
JNJ,2015-01-01,2016-08-26,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
JNJ,2016-08-26,2018-04-22,rule_based,-0.08,0.01,yahoo,0.015,0.2,-0.041,2
JNJ,2018-04-22,2019-12-16,rule_based,-0.08,0.01,yahoo,-0.002,0.0,-0.058,2
JNJ,2019-12-16,2021-08-11,rule_based,-0.08,0.01,yahoo,-0.015,0.04,-0.225,2
JNJ,2021-08-11,2023-04-06,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
JNJ,2023-04-06,2024-11-30,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
JNJ,2024-11-30,2026-07-27,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
KO,2015-01-01,2016-08-26,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
